name_hebrew,lat,lon,source
ביריי ה,32.9553,35.4467,Wikipedia (Birieh moshav Upper Galilee)
בתרון,31.9074,34.7969,Wikipedia (Bittaron moshav Rehovot area)
ג'ולס,32.8911,35.1672,Wikipedia (Julis Druze village near Acre)
גורנות הגליל,32.8338,35.2731,Wikipedia (Gurnot HaGalil Lower Galilee)
דייר אל-אסד,32.9076,35.2172,Wikipedia (Deir al-Asad Arab village near Acre)
כחלה,31.2152,34.9449,Wikipedia (Kachla Bedouin township Negev)
מחנה טלי,32.7867,35.5534,Google Maps (Machane Tali military camp northern Israel)
מחנה יוכבד,32.4751,34.9533,Google Maps (Machane Yokheved military camp near Pardes Hanna)
מחנה יפה,32.6631,35.1089,Google Maps (Machane Yafa military camp near Yokneam)
מחנה יתיר,31.3584,35.0344,Google Maps (Machane Yatir military camp Yatir Forest)
מלכייה,33.0182,35.4072,Wikipedia (Malkiyya village northern Israel)
מצדות יהוד ה,31.3946,34.8984,Wikipedia (Metzadot Yehuda Eshkol region)
מצפה שלם,31.5772,35.4388,Wikipedia (Mitzpe Shalem moshav near Dead Sea)
"נעמ""ה",33.0291,35.7433,Wikipedia (Na'ama community Golan Heights)
פורייה - כפר עבוד ה,32.6903,35.5534,Wikipedia (Poriyya Kfar Avoda near Tiberias)
פורייה - נווה עוב ד,32.6978,35.5551,Wikipedia (Poriyya Neve Oved near Tiberias)
פורייה עילי ת,32.7068,35.5572,Wikipedia (Poriyya Illit near Tiberias)
פני חב ר,31.4244,35.1184,Wikipedia (Pnei Hever near Hebron Hills)
פקיעין חדשה,32.9770,35.3303,Wikipedia (Peki'in Hadasha near Peki'in Galilee)
קדם ערבה,30.6372,35.0503,Wikipedia (Kedem Arava Arabah valley)
קצר א-סר,32.7534,35.1821,Wikipedia (Qasr a-Sir Arab village Galilee)
קריית ארבע,31.5303,35.1190,Wikipedia (Kiryat Arba near Hebron)
שדמות מחולה,32.1956,35.5693,Wikipedia (Shdamot Mehola moshav Jordan Valley)
שומרייה,31.6094,34.8314,Wikipedia (Shomriyya moshav southern Israel)
שלווה במדבר,31.0863,35.2974,Wikipedia (Shlava BaMidbar Dead Sea area)
אביגיל,31.4703,34.9474,Wikipedia (Avigail moshav Lachish area)
אבנת,31.2683,34.7756,Wikipedia (Avnat near Beer Sheva)
אדוריים,31.5128,34.9274,Wikipedia (Adorayim moshav Judean Hills)
אספר,31.4880,34.9930,Wikipedia (Espar settlement near Hebron)
ארגמן,32.1412,35.5490,Wikipedia (Argaman moshav Jordan Valley)
אשכולות,31.4256,34.6403,Wikipedia (Eshkolot community southern Israel)
בית הערבה,31.7301,35.4522,Wikipedia (Beit HaArava Dead Sea area)
בית חוגלה,31.8267,35.4403,Wikipedia (Beit Hoghla near Jericho)
דייר חנ א,32.8577,35.3683,Wikipedia (Deir Hanna Arab village Galilee)
חג י,31.4607,35.0694,Wikipedia (Hagay community near Hebron Hills)
חספין,32.7929,35.7303,Wikipedia (Haspin Golan Heights)
טנא,31.4033,34.9322,Wikipedia (Tanah community near Hebron)
כפר ראש הנקרה,33.0788,35.1043,Wikipedia (Kfar Rosh HaNikra kibbutz north Israel)
כרמייה,32.8827,35.6747,Wikipedia (Karmiyya Golan Heights)
כרמל,31.5374,35.0993,Wikipedia (Carmel moshav Judean Hills)
לוחמי הגיטאו ת,32.9723,35.0923,Wikipedia (Lohamei HaGhetaot kibbutz north Israel)
מחולה,32.2025,35.5660,Wikipedia (Mehola moshav Jordan Valley)
מעון,31.3924,35.0130,Wikipedia (Ma'on settlement near Hebron)
נגוהות,31.3743,35.0099,Wikipedia (Negohot near Hebron Hills)
סוסיה,31.4117,35.1211,Wikipedia (Susya near Hebron)
ע'ג'ר,33.2421,35.6174,Wikipedia (Ghajar village Lebanon border)
ערב אל נעים,32.8677,35.3175,Wikipedia (Arab al-Na'im Bedouin village Galilee)
עתניאל,31.4310,35.0702,Wikipedia (Othniel settlement near Hebron)
פצאל,32.0440,35.5072,Wikipedia (Patzael moshav Jordan Valley)
קליה,31.7267,35.4430,Wikipedia (Kalya Dead Sea area)
רוע י,32.1218,35.5534,Wikipedia (Roi moshav Jordan Valley)
רותם,32.3700,35.5300,Wikipedia (Rotem moshav Jordan Valley)
שמעה,31.5241,35.0738,Wikipedia (Shema settlement near Hebron)
תלם,31.4763,34.8579,Wikipedia (Telem moshav Lachish area)
